flight_id,airline,origin_airport,destination_airport,flight_day,scheduled_hour,weather_condition,passenger_count,previous_delay_minutes,security_wait_minutes,gate_changes,delayed
FL080,PIA,LHE,ISB,Monday,17,Clear,134.0,21.0,21.0,0,1
FL081,Qatar,ISB,LHE,Wednesday,11,Clear,134.0,2.0,8.0,0,0
FL082,SereneAir,ISB,DOH,Thursday,21,Clear,190.0,55.0,17.0,0,1
FL083,AirBlue,SIN,BKK,Sunday,17,Clear,115.0,31.0,18.0,0,1
FL084,SereneAir,KHI,LHR,Monday,21,Clear,204.0,7.0,12.0,0,0
FL085,Turkish,DOH,JFK,Tuesday,9,Clear,146.0,13.0,20.0,0,0
FL086,AirBlue,DOH,DXB,Tuesday,16,Rain,151.0,4.0,4.0,0,0
FL087,Qatar,IST,JFK,Tuesday,11,Clear,119.0,0.0,13.0,1,0
FL088,Emirates,KHI,BKK,Thursday,12,Cloudy,185.0,0.0,19.0,0,0
FL089,PIA,IST,KHI,Friday,16,Clear,134.0,0.0,9.0,0,0
FL090,PIA,IST,KHI,Wednesday,6,Cloudy,,42.0,26.0,0,1
FL091,Emirates,JFK,LHE,Friday,17,Clear,114.0,4.0,34.0,0,0
FL092,Emirates,JFK,BKK,Wednesday,5,Clear,198.0,9.0,28.0,0,1
FL093,Qatar,SIN,ISB,Saturday,9,Rain,190.0,26.0,22.0,1,0
FL094,AirBlue,LHR,DOH,Sunday,17,Clear,133.0,10.0,8.0,0,0
FL095,SereneAir,JFK,BKK,Friday,11,Clear,181.0,37.0,23.0,0,0
FL096,PIA,DOH,KHI,Sunday,7,Clear,93.0,95.0,32.0,0,1
FL097,PIA,IST,DXB,Monday,9,Clear,157.0,0.0,30.0,0,0
FL098,Qatar,ISB,LHE,Monday,8,,106.0,5.0,25.0,1,0
FL099,PIA,LHR,BKK,Monday,16,Cloudy,158.0,51.0,10.0,0,0
FL100,Turkish,SIN,BKK,Monday,10,Clear,94.0,0.0,27.0,0,0
FL101,Emirates,IST,LHE,Monday,9,Clear,120.0,0.0,22.0,0,0
FL102,PIA,DOH,DXB,Monday,18,Rain,151.0,28.0,22.0,0,1
FL103,Emirates,IST,DOH,Monday,18,Clear,131.0,25.0,22.0,0,0
FL104,PIA,JFK,KHI,Thursday,16,Rain,132.0,79.0,11.0,1,0
FL105,FlyJinnah,DOH,ISB,Monday,17,Clear,101.0,11.0,37.0,0,1
FL106,Emirates,IST,JFK,Thursday,20,Clear,188.0,30.0,13.0,0,1
FL107,PIA,ISB,DXB,Thursday,13,Fog,213.0,34.0,20.0,0,0
FL108,AirBlue,LHR,KHI,Sunday,17,Rain,150.0,91.0,35.0,0,1
FL109,AirBlue,LHE,DOH,Sunday,13,Clear,126.0,5.0,24.0,0,0
FL110,FlyJinnah,JFK,KHI,Tuesday,21,Cloudy,110.0,22.0,23.0,0,0
FL111,Turkish,ISB,LHE,Friday,7,Clear,138.0,39.0,39.0,0,0
FL112,AirBlue,DOH,BKK,Monday,13,Clear,185.0,10.0,14.0,0,1
FL113,PIA,BKK,DOH,Saturday,8,Cloudy,158.0,10.0,11.0,0,0
FL114,FlyJinnah,KHI,ISB,Tuesday,11,Clear,179.0,37.0,13.0,0,1
FL115,Qatar,KHI,JFK,Tuesday,12,Clear,165.0,22.0,7.0,0,1
FL116,Qatar,IST,DXB,Sunday,7,Storm,88.0,21.0,28.0,1,1
FL117,Qatar,LHR,DOH,Friday,5,Clear,184.0,24.0,14.0,0,1
FL118,FlyJinnah,SIN,LHR,Sunday,14,Rain,127.0,0.0,20.0,0,1
FL119,FlyJinnah,SIN,ISB,Monday,5,Cloudy,180.0,0.0,18.0,0,0
FL120,Turkish,DOH,JFK,Friday,18,Cloudy,156.0,0.0,19.0,0,0
FL121,Emirates,ISB,SIN,Wednesday,21,Rain,173.0,0.0,11.0,0,1
FL122,PIA,BKK,KHI,Tuesday,5,Clear,198.0,36.0,19.0,0,1
FL123,AirBlue,SIN,IST,Saturday,12,Clear,,,7.0,0,0
FL124,FlyJinnah,DXB,DOH,Wednesday,15,Clear,196.0,11.0,20.0,0,0
FL125,SereneAir,DOH,KHI,Friday,17,Clear,234.0,9.0,28.0,0,1
FL126,SereneAir,LHR,DXB,Tuesday,18,Clear,137.0,83.0,26.0,1,1
FL127,FlyJinnah,KHI,DXB,Monday,21,Storm,195.0,35.0,7.0,0,1
FL128,Emirates,BKK,DXB,Friday,17,Rain,248.0,23.0,34.0,0,1
FL129,Turkish,DOH,ISB,Monday,9,Cloudy,195.0,6.0,11.0,0,0
FL130,Turkish,KHI,JFK,Tuesday,17,Cloudy,163.0,11.0,17.0,0,0
FL131,FlyJinnah,SIN,IST,Monday,10,Clear,208.0,11.0,25.0,0,1
FL132,Qatar,ISB,IST,Saturday,9,Clear,143.0,0.0,8.0,0,0
FL133,SereneAir,IST,DXB,Tuesday,20,Clear,55.0,29.0,,0,0
FL134,Emirates,BKK,KHI,Friday,12,Cloudy,208.0,87.0,9.0,0,1
FL135,Qatar,LHR,KHI,Friday,12,Clear,191.0,27.0,6.0,1,0
FL136,AirBlue,BKK,KHI,Monday,11,Cloudy,152.0,12.0,22.0,0,1
FL137,Emirates,JFK,IST,Thursday,12,Fog,153.0,19.0,17.0,1,1
FL138,AirBlue,ISB,KHI,Wednesday,12,Cloudy,132.0,22.0,11.0,0,1
FL139,Emirates,JFK,ISB,Tuesday,8,Clear,,19.0,36.0,0,1
FL140,PIA,LHE,BKK,Wednesday,8,Fog,120.0,3.0,28.0,0,1
FL141,Qatar,BKK,LHE,Saturday,17,Cloudy,198.0,18.0,20.0,0,1
FL142,Qatar,LHR,DXB,Sunday,8,Rain,191.0,84.0,16.0,1,1
FL143,Qatar,DXB,ISB,Wednesday,10,Cloudy,179.0,15.0,6.0,0,0
FL144,PIA,DXB,DOH,Saturday,7,Storm,136.0,15.0,27.0,0,1
FL145,SereneAir,IST,BKK,Thursday,12,Rain,153.0,0.0,16.0,0,1
FL146,Qatar,BKK,JFK,Wednesday,7,Clear,112.0,37.0,15.0,0,0
FL147,FlyJinnah,LHR,LHE,Saturday,18,Clear,156.0,0.0,9.0,1,0
FL148,Emirates,ISB,KHI,Thursday,7,Cloudy,184.0,18.0,22.0,0,0
FL149,PIA,ISB,BKK,Friday,11,Clear,156.0,0.0,4.0,0,1
FL150,Qatar,LHE,DOH,Tuesday,16,,123.0,126.0,9.0,0,1
FL151,Emirates,ISB,LHE,Thursday,10,Cloudy,169.0,14.0,7.0,0,0
FL152,Qatar,ISB,DOH,Tuesday,19,Cloudy,137.0,8.0,21.0,0,1
FL153,PIA,DXB,LHE,Sunday,18,Rain,193.0,7.0,13.0,0,0
FL154,Emirates,KHI,BKK,Saturday,21,Clear,98.0,27.0,17.0,0,1
FL155,FlyJinnah,LHR,DXB,Wednesday,14,Clear,184.0,35.0,16.0,0,1
FL156,Turkish,LHE,LHR,Wednesday,9,Clear,203.0,7.0,20.0,0,0
FL157,PIA,IST,BKK,Monday,15,Rain,168.0,11.0,17.0,0,0
FL158,AirBlue,LHE,IST,Wednesday,8,Clear,180.0,26.0,28.0,0,0
FL159,FlyJinnah,KHI,DXB,Wednesday,5,Clear,185.0,0.0,9.0,0,0
FL160,Qatar,DXB,SIN,Wednesday,7,Clear,138.0,40.0,33.0,0,0
FL161,Qatar,DXB,BKK,Tuesday,17,Cloudy,205.0,8.0,22.0,0,0
FL162,FlyJinnah,LHE,IST,Tuesday,8,Clear,132.0,22.0,15.0,0,0
FL163,PIA,IST,BKK,Friday,16,Clear,171.0,0.0,,0,0
FL164,Turkish,JFK,KHI,Monday,6,Clear,164.0,0.0,16.0,0,0
FL165,PIA,LHR,KHI,Wednesday,11,Storm,232.0,42.0,17.0,0,1
FL166,SereneAir,KHI,IST,Monday,18,Clear,197.0,0.0,33.0,0,1
FL167,FlyJinnah,DXB,LHR,Saturday,7,Cloudy,156.0,15.0,25.0,0,1
FL168,Turkish,KHI,LHE,Sunday,19,Clear,,31.0,29.0,0,0
FL169,SereneAir,IST,SIN,Friday,7,Cloudy,191.0,0.0,19.0,0,0
FL170,FlyJinnah,JFK,LHE,Friday,10,Clear,126.0,0.0,23.0,0,1
FL171,PIA,IST,ISB,Thursday,7,Rain,208.0,9.0,25.0,0,1
FL172,SereneAir,ISB,IST,Tuesday,14,Clear,104.0,21.0,11.0,0,0
FL173,Turkish,ISB,SIN,Friday,8,Clear,160.0,0.0,22.0,0,1
FL174,PIA,DXB,DOH,Sunday,17,Cloudy,198.0,0.0,18.0,0,0
FL175,Qatar,SIN,LHE,Wednesday,21,Clear,80.0,0.0,25.0,0,1
FL176,SereneAir,LHE,DXB,Tuesday,7,Clear,166.0,48.0,30.0,0,1
FL177,Turkish,KHI,LHR,Friday,17,Cloudy,195.0,0.0,15.0,0,0
FL178,Emirates,IST,KHI,Sunday,14,Clear,141.0,19.0,18.0,0,0
FL179,Emirates,ISB,KHI,Monday,16,Rain,252.0,18.0,4.0,0,0
FL180,Turkish,DOH,KHI,Saturday,9,Clear,136.0,67.0,13.0,1,0
FL181,Qatar,DXB,BKK,Saturday,11,Clear,154.0,21.0,12.0,0,0
FL182,SereneAir,DOH,LHE,Thursday,18,Rain,245.0,56.0,29.0,0,1
FL183,Emirates,LHR,DXB,Monday,19,Clear,208.0,34.0,12.0,0,1
FL184,Emirates,BKK,DOH,Sunday,20,Clear,209.0,0.0,14.0,0,0
FL185,AirBlue,LHR,JFK,Monday,8,Cloudy,236.0,81.0,28.0,0,1
FL186,Turkish,KHI,ISB,Friday,6,Clear,178.0,15.0,5.0,0,0
FL187,Qatar,SIN,LHE,Wednesday,6,Clear,255.0,0.0,17.0,0,0
FL188,FlyJinnah,DXB,ISB,Tuesday,6,Clear,115.0,21.0,14.0,0,0
FL189,SereneAir,SIN,BKK,Sunday,18,Clear,121.0,35.0,25.0,0,1
FL190,SereneAir,BKK,KHI,Thursday,12,Clear,115.0,,14.0,0,1
FL191,PIA,ISB,DOH,Monday,12,Clear,216.0,47.0,4.0,0,1
FL192,Emirates,IST,DOH,Sunday,6,Clear,83.0,13.0,21.0,0,0
FL193,Turkish,DOH,JFK,Monday,14,Clear,179.0,36.0,10.0,0,0
FL194,Qatar,DXB,LHE,Monday,20,Clear,112.0,7.0,21.0,0,0
FL195,AirBlue,SIN,DXB,Thursday,13,Clear,224.0,98.0,26.0,0,1
FL196,AirBlue,JFK,KHI,Friday,15,Clear,192.0,11.0,11.0,0,1
FL197,PIA,DXB,LHE,Sunday,18,Clear,197.0,26.0,32.0,0,1
FL198,PIA,LHE,IST,Sunday,17,Cloudy,181.0,48.0,18.0,1,1
FL199,AirBlue,ISB,LHR,Sunday,12,Rain,165.0,34.0,15.0,0,0
FL200,Emirates,KHI,IST,Sunday,6,Storm,182.0,38.0,27.0,1,1
FL201,FlyJinnah,JFK,SIN,Monday,10,Clear,114.0,45.0,11.0,0,0
FL202,Qatar,LHR,ISB,Monday,8,Clear,189.0,49.0,18.0,0,0
FL203,Qatar,LHR,IST,Friday,13,Clear,179.0,28.0,25.0,0,0
FL204,AirBlue,LHE,KHI,Tuesday,16,Clear,199.0,89.0,20.0,0,1
FL205,Qatar,IST,JFK,Friday,5,Cloudy,211.0,6.0,26.0,0,1
FL206,PIA,ISB,DOH,Friday,8,Cloudy,249.0,14.0,40.0,0,0
FL207,Qatar,LHE,KHI,Sunday,14,Clear,218.0,26.0,13.0,0,0
FL208,Emirates,LHR,IST,Tuesday,17,Cloudy,205.0,0.0,18.0,0,0
FL209,PIA,BKK,JFK,Sunday,22,Storm,215.0,18.0,23.0,0,0
FL210,SereneAir,LHE,KHI,Sunday,17,Cloudy,196.0,1.0,23.0,0,1
FL211,Emirates,JFK,LHE,Thursday,13,Clear,148.0,11.0,21.0,0,1
FL212,SereneAir,ISB,JFK,Wednesday,20,Clear,182.0,29.0,4.0,0,0
FL213,PIA,JFK,LHE,Friday,19,Clear,185.0,21.0,22.0,0,1
FL214,PIA,JFK,BKK,Sunday,13,Clear,181.0,14.0,10.0,0,0
FL215,FlyJinnah,KHI,IST,Sunday,10,Clear,156.0,7.0,20.0,0,1
FL216,AirBlue,DOH,ISB,Tuesday,17,Cloudy,194.0,22.0,34.0,0,0
FL217,Qatar,LHR,DXB,Thursday,9,Clear,171.0,10.0,6.0,0,0
FL218,AirBlue,DXB,DOH,Tuesday,5,Clear,154.0,2.0,20.0,0,0
FL219,Qatar,JFK,BKK,Wednesday,19,,170.0,12.0,9.0,0,0
FL220,PIA,KHI,LHE,Sunday,8,Cloudy,143.0,29.0,9.0,0,1
FL221,Emirates,JFK,ISB,Thursday,19,Clear,169.0,43.0,26.0,0,1
FL222,Emirates,KHI,DOH,Tuesday,9,Rain,170.0,0.0,12.0,0,0
FL223,SereneAir,ISB,BKK,Sunday,7,Clear,144.0,13.0,21.0,0,0
FL224,FlyJinnah,ISB,JFK,Saturday,8,Clear,127.0,18.0,20.0,0,0
FL225,Qatar,IST,JFK,Tuesday,18,Clear,173.0,40.0,28.0,0,1
FL226,Emirates,JFK,BKK,Monday,19,Storm,147.0,0.0,26.0,0,0
FL227,SereneAir,JFK,LHR,Sunday,9,Clear,109.0,19.0,12.0,0,0
FL228,Emirates,BKK,DOH,Wednesday,17,Clear,149.0,26.0,24.0,0,1
FL229,AirBlue,ISB,LHR,Saturday,9,Clear,209.0,17.0,24.0,0,0
FL230,SereneAir,DXB,BKK,Saturday,18,Fog,143.0,0.0,28.0,1,1
FL231,Turkish,LHE,JFK,Saturday,6,Clear,163.0,0.0,12.0,0,0
FL232,Qatar,BKK,KHI,Thursday,19,Clear,190.0,0.0,34.0,0,1
FL233,FlyJinnah,LHE,JFK,Sunday,17,Rain,111.0,15.0,20.0,0,0
FL234,Turkish,KHI,DXB,Friday,11,Clear,125.0,84.0,12.0,0,0
FL235,Emirates,DXB,DOH,Saturday,19,Clear,200.0,26.0,31.0,0,0
FL236,FlyJinnah,LHE,JFK,Thursday,9,Clear,245.0,1.0,22.0,0,0
FL237,SereneAir,ISB,LHR,Saturday,8,Cloudy,282.0,31.0,33.0,0,1
FL238,FlyJinnah,LHE,DOH,Saturday,17,Clear,149.0,17.0,14.0,0,0
FL239,SereneAir,KHI,LHE,Thursday,8,Clear,161.0,35.0,17.0,0,1
FL240,SereneAir,DXB,ISB,Monday,17,Fog,193.0,0.0,33.0,1,1
FL241,SereneAir,DOH,SIN,Monday,6,Clear,195.0,17.0,12.0,0,1
FL242,Emirates,LHE,JFK,Wednesday,19,Fog,157.0,43.0,20.0,0,1
FL243,FlyJinnah,LHE,KHI,Tuesday,17,,185.0,10.0,15.0,0,0
FL244,PIA,LHE,SIN,Thursday,7,Clear,193.0,17.0,24.0,0,0
FL245,Emirates,IST,BKK,Friday,17,Cloudy,109.0,25.0,15.0,0,0
FL246,PIA,LHE,BKK,Sunday,12,Clear,197.0,39.0,14.0,0,1
FL247,PIA,LHR,SIN,Sunday,15,Clear,131.0,14.0,14.0,1,0
FL248,Turkish,BKK,DOH,Friday,15,Cloudy,131.0,18.0,20.0,0,0
FL249,SereneAir,LHR,KHI,Monday,18,Clear,126.0,42.0,22.0,1,1
FL250,Emirates,JFK,KHI,Wednesday,16,Clear,199.0,6.0,,0,0
FL251,Qatar,KHI,SIN,Thursday,16,Fog,194.0,29.0,32.0,0,0
FL252,Qatar,LHE,DXB,Monday,10,Cloudy,198.0,0.0,32.0,0,0
FL253,FlyJinnah,LHE,DXB,Thursday,16,Rain,92.0,11.0,10.0,1,0
FL254,Emirates,LHE,DXB,Friday,14,Cloudy,149.0,0.0,4.0,0,0
FL255,Turkish,JFK,ISB,Friday,6,Clear,177.0,16.0,20.0,0,1
FL256,AirBlue,SIN,ISB,Wednesday,18,Clear,207.0,0.0,23.0,0,0
FL257,Emirates,ISB,LHR,Thursday,11,Rain,125.0,74.0,19.0,1,1
FL258,Qatar,SIN,DXB,Sunday,17,Clear,61.0,118.0,18.0,0,1
FL259,PIA,IST,SIN,Saturday,20,Clear,211.0,3.0,8.0,0,1
FL260,Emirates,IST,BKK,Tuesday,20,Cloudy,170.0,3.0,9.0,0,1
FL261,Turkish,BKK,SIN,Thursday,22,Rain,170.0,13.0,4.0,0,0
FL262,Turkish,KHI,LHR,Wednesday,14,Clear,224.0,0.0,21.0,0,1
FL263,PIA,LHE,BKK,Friday,5,Clear,133.0,0.0,12.0,0,0
FL264,Emirates,KHI,DXB,Monday,12,Clear,175.0,17.0,6.0,0,0
FL265,FlyJinnah,IST,ISB,Thursday,17,Cloudy,131.0,0.0,10.0,0,1
FL266,SereneAir,BKK,KHI,Wednesday,18,Clear,120.0,30.0,18.0,0,0
FL267,AirBlue,DOH,JFK,Monday,14,Cloudy,167.0,15.0,4.0,0,0
FL268,FlyJinnah,SIN,LHE,Tuesday,7,Cloudy,164.0,22.0,22.0,0,0
FL269,PIA,DOH,KHI,Wednesday,6,Cloudy,131.0,15.0,13.0,0,1
FL270,Qatar,DOH,LHE,Friday,15,Rain,187.0,11.0,18.0,1,0
FL271,FlyJinnah,LHR,SIN,Wednesday,18,Clear,207.0,77.0,30.0,0,0
FL272,Turkish,SIN,ISB,Sunday,15,Clear,95.0,0.0,4.0,0,0
FL273,Turkish,BKK,DOH,Tuesday,12,Clear,129.0,26.0,22.0,0,0
FL274,AirBlue,BKK,LHE,Saturday,17,Fog,227.0,21.0,28.0,0,1
FL275,PIA,ISB,JFK,Monday,17,Cloudy,199.0,0.0,22.0,0,0
FL276,Qatar,DOH,LHR,Tuesday,13,Clear,194.0,0.0,10.0,0,1
FL277,AirBlue,LHE,DXB,Tuesday,9,Cloudy,185.0,22.0,14.0,0,1
FL278,PIA,DXB,ISB,Tuesday,15,Clear,157.0,10.0,20.0,0,0
FL279,PIA,DOH,KHI,Tuesday,12,Storm,180.0,5.0,5.0,1,1
FL280,SereneAir,LHR,KHI,Tuesday,10,Clear,210.0,16.0,13.0,0,0
FL281,Turkish,SIN,BKK,Sunday,7,Clear,200.0,31.0,36.0,0,0
FL282,Qatar,JFK,DXB,Sunday,13,Rain,124.0,40.0,19.0,1,0
FL283,Qatar,SIN,JFK,Wednesday,7,Cloudy,177.0,30.0,16.0,0,1
FL284,SereneAir,DOH,BKK,Thursday,15,Cloudy,203.0,13.0,9.0,0,0
FL285,Qatar,IST,LHR,Saturday,7,Rain,185.0,22.0,27.0,0,0
FL286,PIA,LHE,LHR,Saturday,5,Clear,217.0,46.0,23.0,1,1
FL287,Qatar,SIN,DOH,Saturday,20,Clear,168.0,2.0,28.0,0,1
FL288,Qatar,SIN,DXB,Friday,7,Clear,165.0,14.0,33.0,0,0
FL289,Emirates,KHI,LHE,Friday,8,Rain,195.0,5.0,21.0,0,1
FL290,PIA,SIN,KHI,Friday,9,Fog,196.0,0.0,20.0,0,0
FL291,Turkish,LHR,SIN,Friday,19,Clear,163.0,31.0,27.0,0,1
FL292,Emirates,DOH,DXB,Wednesday,6,Cloudy,171.0,7.0,8.0,0,0
FL293,AirBlue,LHR,DXB,Tuesday,17,Rain,171.0,25.0,16.0,0,0
FL294,Turkish,SIN,ISB,Sunday,13,Cloudy,55.0,16.0,20.0,0,1
FL295,Qatar,LHE,ISB,Friday,18,Clear,121.0,8.0,25.0,0,0
FL296,PIA,DXB,LHR,Friday,6,Clear,180.0,5.0,13.0,0,1
FL297,Turkish,IST,JFK,Sunday,10,Clear,69.0,0.0,19.0,0,0
FL298,Turkish,LHE,SIN,Sunday,5,Clear,218.0,42.0,13.0,0,1
FL299,PIA,LHE,ISB,Tuesday,18,Clear,136.0,0.0,20.0,0,1
FL300,Turkish,BKK,DXB,Friday,15,Cloudy,195.0,41.0,13.0,0,1
FL301,Emirates,LHE,DXB,Saturday,18,Clear,131.0,0.0,24.0,0,1
FL302,Emirates,JFK,DOH,Thursday,18,Fog,164.0,0.0,26.0,1,0
FL303,AirBlue,LHE,LHR,Monday,6,Fog,152.0,15.0,4.0,0,0
FL304,AirBlue,DXB,IST,Thursday,16,Clear,169.0,10.0,18.0,0,0
FL305,FlyJinnah,LHE,BKK,Tuesday,15,Clear,164.0,0.0,9.0,0,0
FL306,SereneAir,IST,LHR,Wednesday,7,Clear,101.0,9.0,22.0,0,0
FL307,Turkish,JFK,DOH,Friday,8,Clear,137.0,27.0,21.0,0,1
FL308,FlyJinnah,DXB,BKK,Sunday,18,Cloudy,154.0,0.0,15.0,0,1
FL309,FlyJinnah,BKK,LHR,Wednesday,17,Clear,155.0,23.0,39.0,0,0
FL310,PIA,LHE,ISB,Thursday,8,Clear,174.0,0.0,19.0,0,1
